feature_setting,feature
full_features,gateway
full_features,packet_count
full_features,crc_success_rate
full_features,rssi_mean
full_features,rssi_std
full_features,rssi_min
full_features,rssi_max
full_features,snr_mean
full_features,snr_std
full_features,snr_min
full_features,snr_max
full_features,size_mean
full_features,size_std
full_features,spreading_factor_mean
full_features,spreading_factor_std
full_features,frequency_nunique
full_features,sf_7_ratio
full_features,sf_8_ratio
full_features,sf_9_ratio
full_features,sf_10_ratio
full_features,sf_11_ratio
full_features,sf_12_ratio
full_features,sf_6_ratio
full_features,hour
full_features,dayofweek
full_features,prev_crc_success_rate
full_features,prev_delta
full_features,rolling_crc_mean_3
full_features,rolling_crc_std_3
full_features,rolling_crc_mean_6
full_features,rolling_crc_std_6
full_features,rolling_rssi_mean_3
full_features,rolling_snr_mean_3
current_crc_only,crc_success_rate
without_current_crc,gateway
without_current_crc,packet_count
without_current_crc,rssi_mean
without_current_crc,rssi_std
without_current_crc,rssi_min
without_current_crc,rssi_max
without_current_crc,snr_mean
without_current_crc,snr_std
without_current_crc,snr_min
without_current_crc,snr_max
without_current_crc,size_mean
without_current_crc,size_std
without_current_crc,spreading_factor_mean
without_current_crc,spreading_factor_std
without_current_crc,frequency_nunique
without_current_crc,sf_7_ratio
without_current_crc,sf_8_ratio
without_current_crc,sf_9_ratio
without_current_crc,sf_10_ratio
without_current_crc,sf_11_ratio
without_current_crc,sf_12_ratio
without_current_crc,sf_6_ratio
without_current_crc,hour
without_current_crc,dayofweek
without_current_crc,prev_crc_success_rate
without_current_crc,prev_delta
without_current_crc,rolling_crc_mean_3
without_current_crc,rolling_crc_std_3
without_current_crc,rolling_crc_mean_6
without_current_crc,rolling_crc_std_6
without_current_crc,rolling_rssi_mean_3
without_current_crc,rolling_snr_mean_3
without_current_rolling_crc,gateway
without_current_rolling_crc,packet_count
without_current_rolling_crc,rssi_mean
without_current_rolling_crc,rssi_std
without_current_rolling_crc,rssi_min
without_current_rolling_crc,rssi_max
without_current_rolling_crc,snr_mean
without_current_rolling_crc,snr_std
without_current_rolling_crc,snr_min
without_current_rolling_crc,snr_max
without_current_rolling_crc,size_mean
without_current_rolling_crc,size_std
without_current_rolling_crc,spreading_factor_mean
without_current_rolling_crc,spreading_factor_std
without_current_rolling_crc,frequency_nunique
without_current_rolling_crc,sf_7_ratio
without_current_rolling_crc,sf_8_ratio
without_current_rolling_crc,sf_9_ratio
without_current_rolling_crc,sf_10_ratio
without_current_rolling_crc,sf_11_ratio
without_current_rolling_crc,sf_12_ratio
without_current_rolling_crc,sf_6_ratio
without_current_rolling_crc,hour
without_current_rolling_crc,dayofweek
without_current_rolling_crc,prev_crc_success_rate
without_current_rolling_crc,prev_delta
without_current_rolling_crc,rolling_rssi_mean_3
without_current_rolling_crc,rolling_snr_mean_3
without_all_crc,gateway
without_all_crc,packet_count
without_all_crc,rssi_mean
without_all_crc,rssi_std
without_all_crc,rssi_min
without_all_crc,rssi_max
without_all_crc,snr_mean
without_all_crc,snr_std
without_all_crc,snr_min
without_all_crc,snr_max
without_all_crc,size_mean
without_all_crc,size_std
without_all_crc,spreading_factor_mean
without_all_crc,spreading_factor_std
without_all_crc,frequency_nunique
without_all_crc,sf_7_ratio
without_all_crc,sf_8_ratio
without_all_crc,sf_9_ratio
without_all_crc,sf_10_ratio
without_all_crc,sf_11_ratio
without_all_crc,sf_12_ratio
without_all_crc,sf_6_ratio
without_all_crc,hour
without_all_crc,dayofweek
without_all_crc,rolling_rssi_mean_3
without_all_crc,rolling_snr_mean_3
current_radio_only,rssi_mean
current_radio_only,rssi_std
current_radio_only,rssi_min
current_radio_only,rssi_max
current_radio_only,snr_mean
current_radio_only,snr_std
current_radio_only,snr_min
current_radio_only,snr_max
delayed_radio_only,rolling_rssi_mean_3
delayed_radio_only,rolling_snr_mean_3
