Accuracy,BalancedAcc,Precision,Recall,F1,ROC_AUC,PR_AUC,PositiveRate,PositiveCount,NegativeCount,valid_binary_test,threshold,train_samples,test_samples,feature_count,feature_setting,split_type,test_gateway
0.00042582636929791877,0.00042582636929791877,0.0,0.0,0.0,,,0.0,0,37574,0,0.1,72574,37574,33,full_features,leave_one_gateway_out,0000024b0b031c97
0.0,0.0,0.0,0.0,0.0,,,0.0,0,37574,0,0.1,72574,37574,1,current_crc_only,leave_one_gateway_out,0000024b0b031c97
0.00042582636929791877,0.00042582636929791877,0.0,0.0,0.0,,,0.0,0,37574,0,0.1,72574,37574,32,without_current_crc,leave_one_gateway_out,0000024b0b031c97
2.6614148081119923e-05,2.6614148081119923e-05,0.0,0.0,0.0,,,0.0,0,37574,0,0.1,72574,37574,28,without_current_rolling_crc,leave_one_gateway_out,0000024b0b031c97
0.9980305530419972,0.9980305530419972,0.0,0.0,0.0,,,0.0,0,37574,0,0.1,72574,37574,26,without_all_crc,leave_one_gateway_out,0000024b0b031c97
0.8501889604513759,0.8501889604513759,0.0,0.0,0.0,,,0.0,0,37574,0,0.1,72574,37574,8,current_radio_only,leave_one_gateway_out,0000024b0b031c97
1.0,1.0,0.0,0.0,0.0,,,0.0,0,37574,0,0.1,72574,37574,2,delayed_radio_only,leave_one_gateway_out,0000024b0b031c97
0.9918918918918919,0.5,0.0,0.0,0.0,0.799815566553597,0.06542641998263123,0.008108108108108109,42,5138,1,0.1,104968,5180,33,full_features,leave_one_gateway_out,00000f0c210281c4
0.9918918918918919,0.5,0.0,0.0,0.0,0.25597786798643163,0.005133280572289606,0.008108108108108109,42,5138,1,0.1,104968,5180,1,current_crc_only,leave_one_gateway_out,00000f0c210281c4
0.9918918918918919,0.5,0.0,0.0,0.0,0.7996116702811914,0.06538180511365901,0.008108108108108109,42,5138,1,0.1,104968,5180,32,without_current_crc,leave_one_gateway_out,00000f0c210281c4
0.9918918918918919,0.5118074477747502,0.5,0.023809523809523808,0.045454545454545456,0.6870655619195908,0.0556503849453391,0.008108108108108109,42,5138,1,0.1,104968,5180,28,without_current_rolling_crc,leave_one_gateway_out,00000f0c210281c4
0.885907335907336,0.47018943817308945,0.003616636528028933,0.047619047619047616,0.0067226890756302525,0.6623338708780515,0.012871831005879748,0.008108108108108109,42,5138,1,0.1,104968,5180,26,without_all_crc,leave_one_gateway_out,00000f0c210281c4
0.9918918918918919,0.5,0.0,0.0,0.0,0.5011214294982298,0.013140633585095901,0.008108108108108109,42,5138,1,0.1,104968,5180,8,current_radio_only,leave_one_gateway_out,00000f0c210281c4
0.9918918918918919,0.5,0.0,0.0,0.0,0.5466320043003579,0.010559311496801655,0.008108108108108109,42,5138,1,0.1,104968,5180,2,delayed_radio_only,leave_one_gateway_out,00000f0c210281c4
0.9893326560416534,0.5,0.0,0.0,0.0,0.6919790893059617,0.028156151037771526,0.010667343958346561,168,15581,1,0.1,94399,15749,33,full_features,leave_one_gateway_out,00000f0c210721f2
0.9817766207378247,0.4961812463898338,0.0,0.0,0.0,0.1801870257120241,0.0060161591036925356,0.010667343958346561,168,15581,1,0.1,94399,15749,1,current_crc_only,leave_one_gateway_out,00000f0c210721f2
0.9893326560416534,0.5,0.0,0.0,0.0,0.6919618980382088,0.028148400909645925,0.010667343958346561,168,15581,1,0.1,94399,15749,32,without_current_crc,leave_one_gateway_out,00000f0c210721f2
0.9893326560416534,0.5,0.0,0.0,0.0,0.6434683879327996,0.021556740182131384,0.010667343958346561,168,15581,1,0.1,94399,15749,28,without_current_rolling_crc,leave_one_gateway_out,00000f0c210721f2
