threshold,feature_setting,feature_count,Recall,ROC_AUC,PR_AUC
0.1,full_features,33,0.927437641723356,0.923214955481076,0.5634583227067882
0.1,without_current_crc,32,0.927437641723356,0.9232202995520544,0.5634429331872304
0.1,without_current_rolling_crc,28,0.9308390022675737,0.9039188336171317,0.5132114957698019
0.1,without_all_crc,26,0.8922902494331065,0.8180612178097071,0.2804464305193293
0.1,current_radio_only,8,0.8463718820861678,0.7114112193707385,0.1839394885727567
0.1,delayed_radio_only,2,0.8120748299319728,0.7212194178506597,0.17032161651938882
0.1,current_crc_only,1,0.7270408163265306,0.6592988759942081,0.1254104009590556
0.2,full_features,33,0.9381720430107527,0.9598085590562975,0.36733116337574206
0.2,without_current_crc,32,0.9381720430107527,0.9598113982423443,0.36733003015558424
0.2,without_current_rolling_crc,28,0.9099462365591398,0.9470761908620566,0.317730073433979
0.2,without_all_crc,26,0.6559139784946236,0.8570532364265422,0.11180907562643379
0.2,current_radio_only,8,0.6733870967741935,0.7196494464661496,0.05863342058276261
0.2,delayed_radio_only,2,0.6693548387096774,0.6505379797150133,0.031167290903502346
0.2,current_crc_only,1,0.5618279569892473,0.5863280223672612,0.022485997093502224
