gateway_id,threshold,test_n,test_positive_count,test_positive_rate,Recall,ROC_AUC,PR_AUC,valid_binary_test
G1,0.1,37574,0,0.0,0.0,,,0
G2,0.1,5180,42,0.0081081081081081,0.0,0.7986385289810746,0.0634789653296226,1
G3,0.1,15749,168,0.0106673439583465,0.0,0.6912482694123796,0.0280982129725903,1
G4,0.1,6824,2025,0.2967467760844079,0.9767901234567902,0.7852155413036153,0.5965246088860633,1
G5,0.1,4083,884,0.2165074699975508,0.3382352941176471,0.7961597869243642,0.5136991027840734,1
G6,0.1,3359,792,0.2357844596606133,0.914141414141414,0.824431498467338,0.5965329310884726,1
G7,0.1,330,66,0.2,0.8333333333333334,0.7995867768595041,0.506549220114824,1
G8,0.1,37046,6688,0.1805323111806942,0.3826255980861244,0.8008291298400491,0.5105987290644876,1
G1,0.2,37574,0,0.0,0.0,,,0
G2,0.2,5180,0,0.0,0.0,,,0
G3,0.2,15749,0,0.0,0.0,,,0
G4,0.2,6824,983,0.1440504103165299,0.91353001017294,0.8225017908449811,0.469817913332192,1
G5,0.2,4083,274,0.0671075189811413,0.4160583941605839,0.8633949941839631,0.3287118441594496,1
G6,0.2,3359,271,0.0806787734444775,0.966789667896679,0.8776157677379883,0.3939393936086584,1
G7,0.2,330,19,0.0575757575757575,1.0,0.8911829412760196,0.2942043813211494,1
G8,0.2,37046,1421,0.0383577174323813,0.2216748768472906,0.8680668963048014,0.289194864416384,1
