split,threshold,gateway,budget,n,events,alerts,precision,recall,lift
Time,0.1,,0.05,35776,3528,1789,0.6595863610955841,0.3344671201814059,6.6893424036281175
Time,0.1,,0.1,35776,3528,3578,0.5399664617104528,0.5476190476190477,5.476190476190476
LOGO,0.1,00000f0c210281c4,0.05,5180,42,259,0.05019305019305019,0.30952380952380953,6.190476190476191
LOGO,0.1,00000f0c210281c4,0.1,5180,42,518,0.03861003861003861,0.47619047619047616,4.761904761904761
LOGO,0.1,00000f0c210721f2,0.05,15749,168,788,0.046954314720812185,0.22023809523809523,4.404761904761904
LOGO,0.1,00000f0c210721f2,0.1,15749,168,1575,0.03111111111111111,0.2916666666666667,2.9166666666666665
LOGO,0.1,00000f0c22433141,0.05,6824,2070,342,0.7923976608187134,0.13091787439613525,2.618357487922705
LOGO,0.1,00000f0c22433141,0.1,6824,2070,683,0.6954612005856515,0.22946859903381642,2.2946859903381642
LOGO,0.1,00800000a0001793,0.05,4083,895,205,0.7268292682926829,0.1664804469273743,3.329608938547486
LOGO,0.1,00800000a0001793,0.1,4083,895,409,0.6405867970660146,0.2927374301675978,2.927374301675978
LOGO,0.1,00800000a0001794,0.05,3359,810,168,0.7619047619047619,0.1580246913580247,3.1604938271604937
LOGO,0.1,00800000a0001794,0.1,3359,810,336,0.7113095238095238,0.29506172839506173,2.950617283950617
LOGO,0.1,00800000a0001914,0.05,330,67,17,0.6470588235294118,0.16417910447761194,3.2835820895522385
LOGO,0.1,00800000a0001914,0.1,330,67,33,0.6060606060606061,0.29850746268656714,2.9850746268656714
LOGO,0.1,7276ff002e062804,0.05,37046,6730,1853,0.7166756610901241,0.19732540861812778,3.9465081723625555
LOGO,0.1,7276ff002e062804,0.1,37046,6730,3705,0.6021592442645074,0.3315007429420505,3.315007429420505
Time,0.2,,0.05,35776,744,1789,0.27836780324203464,0.6693548387096774,13.387096774193546
Time,0.2,,0.1,35776,744,3578,0.17831190609278927,0.8575268817204301,8.5752688172043
LOGO,0.2,00000f0c22433141,0.05,6824,991,342,0.6549707602339181,0.2260343087790111,4.520686175580222
LOGO,0.2,00000f0c22433141,0.1,6824,991,683,0.5241581259150805,0.3612512613521695,3.612512613521695
LOGO,0.2,00800000a0001793,0.05,4083,282,205,0.4878048780487805,0.3546099290780142,7.092198581560283
LOGO,0.2,00800000a0001793,0.1,4083,282,409,0.3374083129584352,0.48936170212765956,4.8936170212765955
LOGO,0.2,00800000a0001794,0.05,3359,280,168,0.48214285714285715,0.2892857142857143,5.785714285714286
LOGO,0.2,00800000a0001794,0.1,3359,280,336,0.39285714285714285,0.4714285714285714,4.7142857142857135
LOGO,0.2,00800000a0001914,0.05,330,20,17,0.4117647058823529,0.35,6.999999999999999
LOGO,0.2,00800000a0001914,0.1,330,20,33,0.3333333333333333,0.55,5.5
LOGO,0.2,7276ff002e062804,0.05,37046,1431,1853,0.29249865083648136,0.3787561146051712,7.5751222921034245
LOGO,0.2,7276ff002e062804,0.1,37046,1431,3705,0.21808367071524967,0.5646401118099231,5.646401118099231
