split,threshold,gateway,target_recall,n,events,alerts,alert_rate,precision,recall,lift
Time,0.1,,0.8,35776,3528,7218,0.20175536672629696,0.3911055694098088,0.8001700680272109,3.96604105759788
LOGO,0.1,00000f0c210281c4,0.8,5180,42,1884,0.3637065637065637,0.018046709129511677,0.8095238095238095,2.2257607926397736
LOGO,0.1,00000f0c210721f2,0.8,15749,168,8371,0.5315258111626135,0.016127105483215866,0.8035714285714286,1.5118201443759922
LOGO,0.1,00000f0c22433141,0.8,6824,2070,3396,0.4976553341148886,0.4876325088339223,0.8,1.6075382803297997
LOGO,0.1,00800000a0001793,0.8,4083,895,1905,0.4665686994856723,0.3758530183727034,0.8,1.7146456692913385
LOGO,0.1,00800000a0001794,0.8,3359,810,1424,0.4239356951473653,0.4550561797752809,0.8,1.8870786516853932
LOGO,0.1,00800000a0001914,0.8,330,67,148,0.4484848484848485,0.36486486486486486,0.8059701492537313,1.7970956030657523
LOGO,0.1,7276ff002e062804,0.8,37046,6730,16304,0.44010149543810395,0.33022571148184493,0.8,1.8177625122669283
Time,0.2,,0.8,35776,744,2843,0.07946668157423971,0.20963770664790715,0.8010752688172043,10.08064327020904
LOGO,0.2,00000f0c22433141,0.8,6824,991,2583,0.37851699882766704,0.3070073557878436,0.8002018163471241,2.11404459727169
LOGO,0.2,00800000a0001793,0.8,4083,282,1065,0.26083761939750183,0.21220657276995306,0.8014184397163121,3.0724802717011293
LOGO,0.2,00800000a0001794,0.8,3359,280,802,0.2387615361714796,0.2793017456359102,0.8,3.350623441396509
LOGO,0.2,00800000a0001914,0.8,330,20,69,0.20909090909090908,0.2318840579710145,0.8,3.8260869565217392
LOGO,0.2,7276ff002e062804,0.8,37046,1431,9278,0.25044539221508394,0.12341021771933607,0.8001397624039134,3.194867173745999
