threshold,gateway,feature,event_n,non_event_n,cliffs_delta,p_value
0.1,00000f0c210281c4,crc_success_rate,42,5138,0.48804426402713674,4.798135370530825e-08
0.1,00000f0c210721f2,crc_success_rate,168,15581,0.6396259485759517,2.808855042538579e-46
0.1,00000f0c22433141,crc_success_rate,2070,4754,0.5931569448763208,0.0
0.1,00800000a0001793,crc_success_rate,895,3188,0.6137719661019325,2.960138571046283e-174
0.1,00800000a0001794,crc_success_rate,810,2549,0.5094929505155739,3.801696219463566e-106
0.1,00800000a0001914,crc_success_rate,67,263,0.5957664150729243,4.801243264817548e-14
0.1,7276ff002e062804,crc_success_rate,6730,30316,0.25229988058424513,1.0099590847341284e-230
0.1,00000f0c210281c4,prev_delta,42,5138,0.48465680550149215,5.933473701730091e-08
0.1,00000f0c210721f2,prev_delta,168,15581,0.7084185256157529,2.3113240150692427e-56
0.1,00000f0c22433141,prev_delta,2070,4754,0.43991187690406663,4.565786115389964e-184
0.1,00800000a0001793,prev_delta,895,3188,0.4625333828673166,1.3189611039712427e-99
0.1,00800000a0001794,prev_delta,810,2549,0.5008756762516406,1.3504985440538029e-102
0.1,00800000a0001914,prev_delta,67,263,0.47091538505192676,2.62277665218267e-09
0.1,7276ff002e062804,prev_delta,6730,30316,0.5430392338884307,0.0
0.1,00000f0c210281c4,rssi_mean,42,5138,0.1083430647463346,0.2258805170365844
0.1,00000f0c210721f2,rssi_mean,168,15581,0.22998592608213309,2.815637374099682e-07
0.1,00000f0c22433141,rssi_mean,2070,4754,0.11393202571340888,6.716065413521449e-14
0.1,00800000a0001793,rssi_mean,895,3188,0.4162939935372172,5.58574584847401e-81
0.1,00800000a0001794,rssi_mean,810,2549,0.10491889823653922,6.644963184669598e-06
0.1,00800000a0001914,rssi_mean,67,263,0.01044208614721076,0.8955807873750204
0.1,7276ff002e062804,rssi_mean,6730,30316,0.025438712231165006,0.001076189311040818
0.1,00000f0c210281c4,rolling_rssi_mean_3,42,5138,0.10652653431944992,0.2337583733735128
0.1,00000f0c210721f2,rolling_rssi_mean_3,168,15581,0.1415658876348178,0.0015720649249564042
