threshold,feature,gateways,median_gateway_delta,positive_gateway_fraction
0.1,crc_success_rate,7,0.5846157249838573,1.0
0.1,frequency_nunique,6,-0.2335795059761318,0.0
0.1,packet_count,7,-0.1669444011479182,0.0
0.1,prev_delta,7,0.48465680550149215,1.0
0.1,rolling_rssi_mean_3,7,0.01669647389359108,0.5714285714285714
0.1,rolling_snr_mean_3,7,-0.058099674813537616,0.2857142857142857
0.1,rssi_mean,7,0.11372420694640595,0.8571428571428571
0.1,size_mean,3,0.48790720288949085,1.0
0.1,snr_mean,7,0.23083103764921953,1.0
0.1,spreading_factor_mean,7,0.0564816538996471,0.7142857142857143
0.2,crc_success_rate,5,0.6347052433746574,1.0
0.2,frequency_nunique,5,-0.2758503976984261,0.0
0.2,packet_count,5,-0.3612006003479724,0.0
0.2,prev_delta,5,0.6384062577672409,1.0
0.2,rolling_rssi_mean_3,5,-0.10441699103063129,0.2
0.2,rolling_snr_mean_3,5,-0.07327805043154512,0.2
0.2,rssi_mean,5,0.09170243580674153,0.6
0.2,size_mean,1,0.5413543682074813,1.0
0.2,snr_mean,5,0.21915721780335073,0.8
0.2,spreading_factor_mean,5,0.03844237524265437,0.8
