split_type,threshold,model,n,positive_count,prevalence,mean_predicted,calibration_in_large,brier_score,brier_reference,log_loss,ece_equal_width,ece_equal_frequency,brier_skill_score,valid_gateway_count
Time,0.1,LogisticRegression,35776,3528,0.09861359570661896,0.2972318898956467,0.19861829418902774,0.1401256501957379,0.08888895444843047,0.4025996219462776,0.19861829418902774,0.19861829418902768,-0.5764124020272141,
Time,0.1,RandomForest,35776,3528,0.09861359570661896,0.3156910030307268,0.21707740732410782,0.1466741638778456,0.08888895444843047,0.41692792030489967,0.2170774073241078,0.21707740732410777,-0.6500831266154627,
Time,0.1,XGBoost,35776,3528,0.09861359570661896,0.27813294529914856,0.1795193495925296,0.13316060602664948,0.08888895444843047,0.3791881439889901,0.17951935634899166,0.17951935949568062,-0.4980557129165415,
LOGO,0.1,LogisticRegression,72571,10782,0.1485717435339185,0.24237401207764742,0.09380226854372892,0.12991331180122964,0.12649818055721007,0.4933619404606607,0.09380226854372892,0.09718467194358404,-0.02699747323618662,7.0
LOGO,0.1,RandomForest,72571,10782,0.1485717435339185,0.45814187036851806,0.30957012683459956,0.20471278135486776,0.12649818055721007,0.5971920437582685,0.30957012683459956,0.3095701268345996,-0.6183061325714827,7.0
LOGO,0.1,XGBoost,72571,10782,0.1485717435339185,0.4072357714176178,0.2586640278836993,0.1802281141281128,0.12649818055721007,0.5451448030502057,0.2586640313874875,0.2586640362766519,-0.424748667010296,7.0
Time,0.2,LogisticRegression,35776,744,0.020796064400715564,0.18477172759475677,0.1639756631940412,0.08977969479352825,0.02036358810615685,0.2805509707411088,0.16397566319404122,0.16397566319404122,-3.40883474589548,
Time,0.2,RandomForest,35776,744,0.020796064400715564,0.19350551766668916,0.1727094532659736,0.08099004680099024,0.02036358810615685,0.2590944482613506,0.17270945326597362,0.1727094532659736,-2.977199223377693,
Time,0.2,XGBoost,35776,744,0.020796064400715564,0.16094693541526794,0.14015087101455237,0.08396488428115845,0.02036358810615685,0.24809561420321377,0.1401508690767267,0.14015087231908668,-3.123285338686064,
LOGO,0.2,LogisticRegression,51642,3004,0.05816970682777584,0.18059698159950724,0.1224272747717314,0.09761548925411442,0.05478599203534645,0.3542900221965348,0.1224272747717314,0.1224272747717314,-0.7817600015554256,5.0
LOGO,0.2,RandomForest,51642,3004,0.05816970682777584,0.344947952875556,0.2867782460477802,0.1372613167021957,0.05478599203534645,0.4500422476500744,0.2867782460477801,0.2867782460477801,-1.5054089850857935,5.0
LOGO,0.2,XGBoost,51642,3004,0.05816970682777584,0.26907506585121155,0.2109053590234357,0.13292047381401062,0.05478599203534645,0.41337932939545696,0.21090535172030278,0.21090535513924602,-1.4261762701723812,5.0
