split_type,threshold,method,strategy,bin,count,mean_predicted,observed_rate,min_predicted,max_predicted,abs_gap,weight,test_gateway
Time,0.1,uncalibrated,equal_width,0.0,16845,0.003956678246204686,0.00017809439002671417,0.0006214843267168042,0.09975782363880836,0.0037785838561779717,0.47084637745974955,
Time,0.1,uncalibrated,equal_width,1.0,1157,0.15308638630229673,0.007778738115816767,0.1002564747398869,0.1998975614835704,0.14530764818647995,0.03234011627906977,
Time,0.1,uncalibrated,equal_width,2.0,1466,0.25037674810377303,0.0252387448840382,0.20012499993948557,0.29992003106919907,0.22513800321973482,0.040977191413237926,
Time,0.1,uncalibrated,equal_width,3.0,1694,0.3497107223079674,0.028925619834710745,0.30000365876431084,0.3998736317124823,0.32078510247325664,0.04735017889087657,
Time,0.1,uncalibrated,equal_width,4.0,1938,0.4515380304938964,0.047987616099071206,0.40007172270265107,0.49994221310956094,0.4035504143948252,0.05417039355992844,
Time,0.1,uncalibrated,equal_width,5.0,2078,0.5510192007174448,0.06256015399422522,0.5001084130570932,0.5999805749144297,0.4884590467232196,0.05808363148479428,
Time,0.1,uncalibrated,equal_width,6.0,2408,0.6518804407482924,0.11046511627906977,0.6000995523192357,0.6999495702139407,0.5414153244692227,0.0673076923076923,
Time,0.1,uncalibrated,equal_width,7.0,2621,0.7497069693263783,0.18122853872567724,0.7000101341528203,0.7999954754344637,0.568478430600701,0.07326140429338104,
Time,0.1,uncalibrated,equal_width,8.0,2906,0.8500818443358971,0.3097040605643496,0.8000245839343089,0.8999597834907784,0.5403777837715474,0.08122763864042934,
Time,0.1,uncalibrated,equal_width,9.0,2663,0.946746960048937,0.5767930904994367,0.9000240872724199,0.9998909383674572,0.36995386954950027,0.07443537567084078,
Time,0.1,uncalibrated,equal_frequency,0.0,3578,0.0012097042066355108,0.0,0.0006214843267168042,0.0015022983163474255,0.0012097042066355108,0.10001118067978533,
Time,0.1,uncalibrated,equal_frequency,1.0,3578,0.0016764005742821802,0.0,0.0015025746374305495,0.0018253129997810754,0.0016764005742821802,0.10001118067978533,
Time,0.1,uncalibrated,equal_frequency,2.0,3577,0.0019710407463695437,0.0,0.0018253308386561612,0.00212170764765035,0.0019710407463695437,0.099983228980322,
Time,0.1,uncalibrated,equal_frequency,3.0,3578,0.0023115692527553864,0.0,0.0021217263414832943,0.0025559929762867155,0.0023115692527553864,0.10001118067978533,
Time,0.1,uncalibrated,equal_frequency,4.0,3577,0.05475847916454496,0.0030752026838132512,0.002556142119697313,0.190750715673514,0.05168327648073171,0.099983228980322,
Time,0.1,uncalibrated,equal_frequency,5.0,3578,0.30905728929908316,0.0276690888764673,0.19086242255476366,0.4175962348356667,0.28138820042261586,0.10001118067978533,
Time,0.1,uncalibrated,equal_frequency,6.0,3577,0.5075336672815188,0.05703103159071848,0.41768988262783857,0.5934446626952212,0.45050263569080035,0.099983228980322,
Time,0.1,uncalibrated,equal_frequency,7.0,3578,0.6695090519205809,0.12073784237003912,0.5934606645207122,0.7395963210003187,0.5487712095505417,0.10001118067978533,
Time,0.1,uncalibrated,equal_frequency,8.0,3577,0.805356973641071,0.24797316186748672,0.7396230812007505,0.8687790879488891,0.5573838117735842,0.099983228980322,
Time,0.1,uncalibrated,equal_frequency,9.0,3578,0.9308351517064845,0.5212409167132476,0.8687936782710424,0.9998909383674572,0.4095942349932369,0.10001118067978533,
Time,0.1,sigmoid,equal_width,0.0,26523,0.013039396327592762,0.01741884402216944,0.0014915268292996426,0.09995746798186855,0.004379447694576677,0.7413629248658319,
