split_type,threshold,model,n,positive_count,prevalence,mean_predicted,calibration_in_large,brier_score,brier_reference,log_loss,ece_equal_width,ece_equal_frequency,brier_skill_score,test_gateway,fit_n,calibration_n
Time,0.1,uncalibrated,35776,3528,0.09861359570661896,0.3271705092330949,0.22855691352647592,0.16717723088112477,0.08888895444843047,0.4756594668235876,0.22855691352647595,0.2285569135264759,-0.8807424602807514,,57105,17267
Time,0.1,sigmoid,35776,3528,0.09861359570661896,0.0807672182672914,-0.017846377439327557,0.06269972217748833,0.08888895444843047,0.20026162767030742,0.017846377439327567,0.019146227534577898,0.2946286457462608,,57105,17267
Time,0.1,isotonic,35776,3528,0.09861359570661896,0.07758980190943149,-0.021023793797187468,0.06233604411165167,0.08888895444843047,0.198426830531665,0.021043630487129192,0.02103234549351813,0.2987200209693506,,57105,17267
LOGO,0.1,uncalibrated,5180,42,0.008108108108108109,0.03905477044246105,0.03094666233435294,0.008923827387893601,0.008042366691015341,0.061951233939864084,0.031143218123065072,0.030946662334352948,-0.10960215204598889,00000f0c210281c4,83260,21708
LOGO,0.1,sigmoid,5180,42,0.008108108108108109,0.002346506560437023,-0.0057616015476710854,0.008063686662204304,0.008042366691015341,0.0496114322015913,0.0057616015476710854,0.006192525116093018,-0.002650957362188011,00000f0c210281c4,83260,21708
LOGO,0.1,isotonic,5180,42,0.008108108108108109,7.706797548646697e-06,-0.008100401310559462,0.008106436563984304,0.008042366691015341,0.2863381123599608,0.008100401310559462,0.008100401310559462,-0.007966544604405934,00000f0c210281c4,83260,21708
LOGO,0.1,uncalibrated,15749,168,0.010667343958346561,9.27781465834867e-05,-0.010574565811763074,0.010662333122060488,0.01055355173122089,0.1093600248660298,0.010589158336118322,0.010574565811763074,-0.010307562194231457,00000f0c210721f2,74995,19404
LOGO,0.1,sigmoid,15749,168,0.010667343958346561,0.003190858764240357,-0.007476485194106204,0.010609353957414788,0.01055355173122089,0.06445748142986166,0.007476485194106205,0.007482165491731306,-0.0052875304556301295,00000f0c210721f2,74995,19404
LOGO,0.1,isotonic,15749,168,0.010667343958346561,0.0,-0.010667343958346561,0.010667343958346561,0.01055355173122089,0.38449004821713656,0.010667343958346561,0.0,-0.010782363134586692,00000f0c210721f2,74995,19404
LOGO,0.1,uncalibrated,6824,2070,0.3033411488862837,0.7799374142309375,0.4765962653446538,0.43481450685331047,0.2113252962786332,1.9254970463336016,0.4765962653446537,0.4765962653446537,-1.0575601431075525,00000f0c22433141,81616,21708
LOGO,0.1,sigmoid,6824,2070,0.3033411488862837,0.4353435358904077,0.13200238700412398,0.20145760483900724,0.2113252962786332,0.5771424752473925,0.1465029717855005,0.15242340469139865,0.04669432203996715,00000f0c22433141,81616,21708
LOGO,0.1,isotonic,6824,2070,0.3033411488862837,0.5806190803294117,0.27727793144312796,0.28902306603636696,0.2113252962786332,6.343621481525033,0.28999366710663177,0.288840113228767,-0.36766904448244087,00000f0c22433141,81616,21708
LOGO,0.1,uncalibrated,4083,895,0.21920156747489591,0.19057478055738925,-0.02862678691750667,0.13879121518831022,0.17115224029144455,0.4463711656680651,0.0526466956933702,0.050489797115372714,0.18907742631956637,00800000a0001793,84398,21667
LOGO,0.1,sigmoid,4083,895,0.21920156747489591,0.03710562640080207,-0.18209594107409385,0.1861612057430913,0.17115224029144455,0.8603076746871539,0.1822106417860457,0.18209594107409383,-0.08769365464389445,00800000a0001793,84398,21667
LOGO,0.1,isotonic,4083,895,0.21920156747489591,0.037597858977422,-0.18160370849747393,0.18655419156246802,0.17115224029144455,2.7653964536071367,0.18307321621238942,0.18160370849747393,-0.08998977310958045,00800000a0001793,84398,21667
LOGO,0.1,uncalibrated,3359,810,0.24114319738017267,0.5600008440553291,0.3188576466751565,0.26129268000229305,0.18299315573743977,0.7940508517041912,0.3188576466751565,0.3188576466751564,-0.42788225575604666,00800000a0001794,85081,21708
LOGO,0.1,sigmoid,3359,810,0.24114319738017267,0.22541769596822522,-0.01572550141194745,0.1387608202069583,0.18299315573743977,0.44774852642856855,0.04791996666260541,0.04560729520866701,0.24171579178593117,00800000a0001794,85081,21708
LOGO,0.1,isotonic,3359,810,0.24114319738017267,0.24630663176628556,0.005163434386112886,0.14157037633548397,0.18299315573743977,0.8708317421425585,0.06364554546617915,0.060033127845705206,0.22636245183611992,00800000a0001794,85081,21708
LOGO,0.1,uncalibrated,330,67,0.20303030303030303,0.5021649440522653,0.2991346410219623,0.24422883618372523,0.16180899908172638,0.767069035324418,0.2991346410219623,0.29913464102196224,-0.5093649770391959,00800000a0001914,88173,21645
LOGO,0.1,sigmoid,330,67,0.20303030303030303,0.1890863791751082,-0.013943923855194829,0.13504172197073513,0.16180899908172638,0.4498125881153175,0.06992978807521803,0.06625594019060861,0.16542514484915427,00800000a0001914,88173,21645
