threshold,window_start,gateway_windows,batch_latency_ms,latency_ms_per_gateway_window
0.1,2020-07-08 00:00:00+00:00,2,4.0134,2.0067
0.1,2020-07-08 00:05:00+00:00,2,3.4469,1.72345
0.1,2020-07-08 00:10:00+00:00,2,3.3911,1.69555
0.1,2020-07-08 00:15:00+00:00,2,3.3309,1.66545
0.1,2020-07-08 00:20:00+00:00,2,3.8705,1.93525
0.1,2020-07-08 00:25:00+00:00,2,3.4484,1.7242
0.1,2020-07-08 00:30:00+00:00,2,3.3212,1.6606
0.1,2020-07-08 00:35:00+00:00,2,3.388,1.694
0.1,2020-07-08 00:40:00+00:00,2,3.9328,1.9664
0.1,2020-07-08 00:45:00+00:00,2,4.2852,2.1426
0.1,2020-07-08 00:50:00+00:00,3,3.5503,1.1834333333333333
0.1,2020-07-08 00:55:00+00:00,3,3.4272,1.1424
0.1,2020-07-08 01:00:00+00:00,3,3.7905,1.2635
0.1,2020-07-08 01:05:00+00:00,2,4.2592,2.1296
0.1,2020-07-08 01:10:00+00:00,2,3.3626,1.6813
0.1,2020-07-08 01:15:00+00:00,2,3.349,1.6745
0.1,2020-07-08 01:20:00+00:00,2,3.2727,1.63635
0.1,2020-07-08 01:25:00+00:00,2,5.4914,2.7457
0.1,2020-07-08 01:30:00+00:00,2,3.4979,1.74895
0.1,2020-07-08 01:35:00+00:00,2,3.2986,1.6493
0.1,2020-07-08 01:40:00+00:00,2,3.2705,1.63525
0.1,2020-07-08 01:45:00+00:00,3,4.6731,1.5576999999999999
0.1,2020-07-08 01:50:00+00:00,2,3.683,1.8415
0.1,2020-07-08 01:55:00+00:00,2,3.9575,1.97875
0.1,2020-07-08 02:00:00+00:00,2,3.3393,1.66965
0.1,2020-07-08 02:05:00+00:00,2,6.079,3.0395
0.1,2020-07-08 02:10:00+00:00,2,3.6003,1.80015
0.1,2020-07-08 02:15:00+00:00,3,3.4017,1.1339
0.1,2020-07-08 02:20:00+00:00,3,3.279,1.093
0.1,2020-07-08 02:25:00+00:00,3,4.9084,1.6361333333333334
0.1,2020-07-08 02:30:00+00:00,2,3.6347,1.81735
0.1,2020-07-08 02:35:00+00:00,2,3.3628,1.6814
0.1,2020-07-08 02:40:00+00:00,2,4.1876,2.0938
0.1,2020-07-08 02:45:00+00:00,2,6.4788,3.2394
0.1,2020-07-08 02:50:00+00:00,2,3.7968,1.8984
0.1,2020-07-08 02:55:00+00:00,2,4.0655,2.03275
0.1,2020-07-08 03:00:00+00:00,2,3.4371,1.71855
0.1,2020-07-08 03:05:00+00:00,2,5.6861,2.84305
0.1,2020-07-08 03:10:00+00:00,2,7.5069,3.75345
0.1,2020-07-08 03:15:00+00:00,2,7.8892,3.9446
0.1,2020-07-08 03:20:00+00:00,3,6.9432,2.3144
0.1,2020-07-08 03:25:00+00:00,2,7.3772,3.6886
0.1,2020-07-08 03:30:00+00:00,2,8.4402,4.2201
0.1,2020-07-08 03:35:00+00:00,2,6.6258,3.3129
0.1,2020-07-08 03:40:00+00:00,2,8.568,4.284
0.1,2020-07-08 03:45:00+00:00,2,6.6964,3.3482
0.1,2020-07-08 03:50:00+00:00,1,5.9395,5.9395
0.1,2020-07-08 03:55:00+00:00,1,7.0963,7.0963
0.1,2020-07-08 04:00:00+00:00,2,5.8821,2.94105
0.1,2020-07-08 04:05:00+00:00,2,7.0971,3.54855
0.1,2020-07-08 04:10:00+00:00,2,7.0519,3.52595
0.1,2020-07-08 04:15:00+00:00,2,6.8702,3.4351
0.1,2020-07-08 04:20:00+00:00,2,6.9953,3.49765
