split_type,threshold,model,n,events,prevalence,ROC_AUC,PR_AUC,test_gateway
Time,0.1,Submitted LR,34682,3272,0.0943428868000692,0.9252484881319623,0.5680246325792497,
Time,0.1,Sequence LR,34682,3272,0.0943428868000692,0.9172090048097994,0.5382988025963692,
Time,0.1,GRU,34682,3272,0.0943428868000692,0.927438901576982,0.5731667965451192,
LOGO,0.1,Submitted LR,5175,42,0.008115942028985508,0.7992077407623871,0.06071170297248844,00000f0c210281c4
LOGO,0.1,Sequence LR,5175,42,0.008115942028985508,0.7321811249339011,0.023944455600987784,00000f0c210281c4
LOGO,0.1,GRU,5175,42,0.008115942028985508,0.7834692419730409,0.03937757054132915,00000f0c210281c4
LOGO,0.1,Submitted LR,15739,168,0.010674121608742614,0.7047502836469506,0.02968574677239141,00000f0c210721f2
LOGO,0.1,Sequence LR,15739,168,0.010674121608742614,0.7508104198586505,0.031382279589109524,00000f0c210721f2
LOGO,0.1,GRU,15739,168,0.010674121608742614,0.8658586933585328,0.06226373752114227,00000f0c210721f2
LOGO,0.1,Submitted LR,5062,1499,0.296128012643224,0.7933349522752282,0.6008438013258399,00000f0c22433141
LOGO,0.1,Sequence LR,5062,1499,0.296128012643224,0.7649977897136776,0.5588010557113684,00000f0c22433141
LOGO,0.1,GRU,5062,1499,0.296128012643224,0.789734273218351,0.6015412141891665,00000f0c22433141
LOGO,0.1,Submitted LR,3858,838,0.21721099015033696,0.8110741437354787,0.5518702387686143,00800000a0001793
LOGO,0.1,Sequence LR,3858,838,0.21721099015033696,0.8097472695949042,0.5332782113307404,00800000a0001793
LOGO,0.1,GRU,3858,838,0.21721099015033696,0.8110990374432976,0.539670580539721,00800000a0001793
LOGO,0.1,Submitted LR,2604,618,0.23732718894009217,0.8268029931201257,0.6083576827827099,00800000a0001794
LOGO,0.1,Sequence LR,2604,618,0.23732718894009217,0.8084756727513305,0.5929706205839966,00800000a0001794
LOGO,0.1,GRU,2604,618,0.23732718894009217,0.8214927632586683,0.6126648470220861,00800000a0001794
LOGO,0.1,Submitted LR,257,61,0.23735408560311283,0.7699899631983941,0.5297804520730809,00800000a0001914
LOGO,0.1,Sequence LR,257,61,0.23735408560311283,0.7537638006022082,0.5119416191145824,00800000a0001914
LOGO,0.1,GRU,257,61,0.23735408560311283,0.7542656406825023,0.5460598890614388,00800000a0001914
LOGO,0.1,Submitted LR,35857,6440,0.1796023091725465,0.8038543173476611,0.5148993984014225,7276ff002e062804
LOGO,0.1,Sequence LR,35857,6440,0.1796023091725465,0.7792295229213175,0.4690737683529772,7276ff002e062804
LOGO,0.1,GRU,35857,6440,0.1796023091725465,0.8334149012159067,0.5520343397174562,7276ff002e062804
Time,0.2,Submitted LR,34682,649,0.018712876996712993,0.9605209608710698,0.3722233377208425,
Time,0.2,Sequence LR,34682,649,0.018712876996712993,0.9574894610809404,0.37370831832797924,
Time,0.2,GRU,34682,649,0.018712876996712993,0.958017159724924,0.3797382842683767,
LOGO,0.2,Submitted LR,5062,710,0.14026076649545635,0.8245223177299088,0.4651735276191177,00000f0c22433141
LOGO,0.2,Sequence LR,5062,710,0.14026076649545635,0.8366841212717481,0.48300888857184626,00000f0c22433141
LOGO,0.2,GRU,5062,710,0.14026076649545635,0.7969400502278376,0.39240461687951245,00000f0c22433141
LOGO,0.2,Submitted LR,3858,260,0.06739243131156039,0.8720710223628512,0.36241868678356765,00800000a0001793
LOGO,0.2,Sequence LR,3858,260,0.06739243131156039,0.8665273442510796,0.3335556506739685,00800000a0001793
LOGO,0.2,GRU,3858,260,0.06739243131156039,0.8686246632744687,0.3221456706377785,00800000a0001793
LOGO,0.2,Submitted LR,2604,199,0.07642089093701997,0.8794805628976483,0.39614423990441694,00800000a0001794
LOGO,0.2,Sequence LR,2604,199,0.07642089093701997,0.8765950333789528,0.43507568050920076,00800000a0001794
LOGO,0.2,GRU,2604,199,0.07642089093701997,0.8846268765866755,0.4205390471176895,00800000a0001794
LOGO,0.2,Submitted LR,257,18,0.07003891050583658,0.8702928870292888,0.4087580542852444,00800000a0001914
LOGO,0.2,Sequence LR,257,18,0.07003891050583658,0.8509995350999535,0.3948404951713123,00800000a0001914
LOGO,0.2,GRU,257,18,0.07003891050583658,0.8621571362157135,0.36211445959149335,00800000a0001914
LOGO,0.2,Submitted LR,35857,1353,0.03773321806062972,0.850783884606757,0.2509322458514011,7276ff002e062804
LOGO,0.2,Sequence LR,35857,1353,0.03773321806062972,0.9104741907661894,0.3771197538273406,7276ff002e062804
LOGO,0.2,GRU,35857,1353,0.03773321806062972,0.9071541069651575,0.3632356206235527,7276ff002e062804
